game_id,game_date,attendance,game_time
0024600001,1946-11-01 00:00:00,,
0024600003,1946-11-02 00:00:00,,
0024600002,1946-11-02 00:00:00,,
0024600004,1946-11-02 00:00:00,,
0024600005,1946-11-02 00:00:00,,
0024600006,1946-11-03 00:00:00,,
0024600008,1946-11-05 00:00:00,,
0024600009,1946-11-05 00:00:00,,
0024600011,1946-11-07 00:00:00,,
0024600012,1946-11-07 00:00:00,,
0024600010,1946-11-07 00:00:00,,
0024600013,1946-11-08 00:00:00,,
0024600014,1946-11-09 00:00:00,2206.0,
0024600015,1946-11-09 00:00:00,,
0024600016,1946-11-09 00:00:00,,
0024600017,1946-11-09 00:00:00,,
0024600018,1946-11-10 00:00:00,,
0024600020,1946-11-11 00:00:00,,
0024600019,1946-11-11 00:00:00,,
0024600022,1946-11-13 00:00:00,,
0024600024,1946-11-14 00:00:00,,
0024600023,1946-11-14 00:00:00,,
0024600029,1946-11-16 00:00:00,,
0024600030,1946-11-16 00:00:00,,
0024600026,1946-11-16 00:00:00,,
0024600028,1946-11-16 00:00:00,,
0024600031,1946-11-17 00:00:00,,
0024600032,1946-11-18 00:00:00,,
0024600033,1946-11-18 00:00:00,,
0024600034,1946-11-19 00:00:00,,
0024600035,1946-11-19 00:00:00,,
0024600037,1946-11-20 00:00:00,,
0024600036,1946-11-20 00:00:00,,
0024600039,1946-11-21 00:00:00,,
0024600040,1946-11-21 00:00:00,,
0024600042,1946-11-22 00:00:00,,
0024600045,1946-11-23 00:00:00,,
0024600043,1946-11-23 00:00:00,,
0024600044,1946-11-23 00:00:00,,
0024600049,1946-11-25 00:00:00,,
0024600053,1946-11-26 00:00:00,,
0024600052,1946-11-26 00:00:00,,
0024600051,1946-11-26 00:00:00,,
0024600055,1946-11-27 00:00:00,,
0024600056,1946-11-27 00:00:00,,
0024600057,1946-11-28 00:00:00,,
0024600058,1946-11-28 00:00:00,,
0024600059,1946-11-28 00:00:00,,
0024600060,1946-11-28 00:00:00,,
0024600064,1946-11-30 00:00:00,,
0024600063,1946-11-30 00:00:00,,
0024600065,1946-11-30 00:00:00,,
0024600062,1946-11-30 00:00:00,,
0024600067,1946-12-01 00:00:00,,
0024600068,1946-12-02 00:00:00,,
0024600069,1946-12-03 00:00:00,,
0024600070,1946-12-04 00:00:00,,
0024600071,1946-12-04 00:00:00,,
0024600072,1946-12-04 00:00:00,,
0024600075,1946-12-05 00:00:00,,
0024600074,1946-12-05 00:00:00,,
